	Adjustment	Age Group	Best	Comments	Country	Drug Group	High	Low	Method	Source	Year	Longitude	Latitude
0	 	15-64	0,2	 	Turkey	Amphetamines			 	UNODC Estimate	2003	 35.243322	 38.963745
1	 	15-64	0,1	 	Zambia	Amphetamines			 	UNODC Estimate	2003	 27.849332	 -13.133897
2	d	15-64	0,76	 	Nicaragua	Amphetamines			 	UNODC Estimate	2003	 -85.207229	 12.865416
3	h	15-64	0,224714914	 	Viet Nam	Amphetamines			 	UNODC Estimate	2003	 108.277199	 14.058324
4	 	15-64	0,02	 	Albania	Amphetamines			 	ARQ	2004	 20.168331	 41.153332
5	 	15-64	0,2	 	Greece	Amphetamines			 	ARQ	2004	 21.824312	 39.074208
6	d, e	15-64	0,6	 	Cambodia	Amphetamines			 	UNODC Estimate	2004	 104.990963	 12.565679
7	 	déc-64	0,6	 	Taiwan Province of China	Amphetamines			 	AMCEWG	2005		
8	 	15-64	0,7	 	Grenada	Amphetamines			 	ARQ	2005	 -61.604171	 12.262776
9	d, e	15-64	0,91	 	Guatemala	Amphetamines			 	UNODC Estimate	2005	 -90.230759	 15.783471
10	d, f	15-64	0,22	 	Myanmar	Amphetamines			 	UNODC Estimate	2005		
11	d, g, h	15-64	0,55	 	Malaysia	Amphetamines			 	UNODC Estimate	2005	 101.975766	 4.210484
12	d,e	15-64	0,84	 	Honduras	Amphetamines			 	UNODC Estimate	2005	 -86.241905	 15.199999
13	g	15-64	0,27	 	Kuwait	Amphetamines			 	UNODC Estimate	2005	 47.481766	 29.31166
14	g	15-64	0,35	 	Belarus	Amphetamines			 	UNODC Estimate	2006	 27.953389	 53.709807
15	g	15-64	0,25	 	Brunei Darussalam	Amphetamines			 	UNODC Estimate	2006		
16	g	15-64	0,4	 	Saudi Arabia	Amphetamines			 	UNODC Estimate	2006	 45.079162	 23.885942
17	z	déc-65	1,2	 	Panama	Amphetamines			HHS	CICAD	2003	 -80.782127	 8.537981
18	b, c, e	15-64	0,12	 	Republic of Korea	Amphetamines	0,16	0,08	HHS	ARQ	2004		
19	z**	déc-65	0,7	 	Brazil	Amphetamines			HHS	ARQ	2005	 -51.92528	 -14.235004
20	z	déc-65	1,35	 	Belize	Amphetamines			HHS	CICAD	2005	 -88.49765	 17.189877
21	 	15-64	0,04	 	Armenia	Amphetamines			HHS	UNODC Estimate	2005	 45.038189	 40.069099
22	z	déc-65	0,2	 	Barbados	Amphetamines			HHS	CICAD	2006	 -59.543198	 13.193887
23	 	déc-65	1,4	 	Thailand	Amphetamines			HHS	ARQ	2007	 100.992541	 15.870032
24	 	déc-65	0,5	 	Suriname	Amphetamines			HHS	CICAD	2007	 -56.027783	 3.919305
25	 	déc-65	0,5	Includes prescription stimulants	Bolivia (Plurinational State of)	Amphetamines			HHS	ARQ	2007		
26	z*	15-64	0,2	 	Ecuador	Amphetamines			HHS	ARQ	2007	 -78.183406	 -1.831239
27	 	18-64	0,5	 	Hungary	Amphetamines	0,8	0,2	HHS	ARQ	2007	 19.503304	 47.162494
28	 	déc-65	0,06	The previous estimate published by UNODC for 2011 was based on a school survey. In consultation with the Member State that estimate has now been replaced by one provided in the 2008 household survey	Colombia	Amphetamines			HHS	ARQ	2008	 -74.297333	 4.570868
29	 	15-64	1	 	Estonia	Amphetamines			HHS	ARQ	2008	 25.013607	 58.595272
30	a, b, e	15-64	1,4	 	Nigeria	Amphetamines	2,014534085	0,707207081	HHS	ARQ	2008	 8.675277	 9.081999
31	a, e	15-64	1,02	 	South Africa	Amphetamines	1,37	0,747	HHS	ARQ	2008	 22.937506	 -30.559482
32	a	15-64	0,5	 	Austria	Amphetamines			HHS	Government source	2008	 14.550072	 47.516231
33	c, e	15-64	2,13	 	Philippines	Amphetamines	2,35	1,91	HHS	Government source	2008	 121.774017	 12.879721
34	e	15-64	0,03	 	Republic of Moldova	Amphetamines	0,04	0,03	HHS	Government source	2008		
35	 	15-64	0,001	 	Afghanistan	Amphetamines			HHS	UNODC/ Govt. Source	2009	 67.709953	 33.93911
36	 	16-65	0,1	 	Bermuda	Amphetamines	0,1	0,001	HHS	Government source	2009	 -64.75737	 32.321384
37	 	18-40	1,01	 	Israel	Amphetamines			HHS	ARQ	2009	 34.851612	 31.046051
38	 	oct-60	0,18	 	Indonesia	Amphetamines			HHS	ARQ	2010	 113.921327	 -0.789275
39	z**	déc-65	0,11	 	Peru	Amphetamines			HHS	ARQ	2010	 -75.015152	 -9.189967
40	 	12+	0,03	 	Algeria	Amphetamines			HHS	ARQ	2010	 1.659626	 28.033886
41	 	15-64	0,8	 	Finland	Amphetamines			HHS	ARQ	2010	 25.748151	 61.92411
42	z**	15-64	1,1	 	Costa Rica	Amphetamines			HHS	ARQ	2010	 -83.753428	 9.748917
43	 	15-64	0,12	 	Slovakia	Amphetamines			HHS	EMCDDA	2010	 19.699024	 48.669026
44	 	déc-65	0,12	 	Mexico	Amphetamines	0,193	0,042	HHS	Government Source	2011	 -102.552784	 23.634501
45	 	15-64	0,4	 	Ireland	Amphetamines			HHS	ARQ	2011	 -8.24389	 53.41291
46	 	15-64	0,3	 	Latvia	Amphetamines			HHS	ARQ	2011	 24.603189	 56.879635
47	e	15-64	0,3	 	Japan	Amphetamines	0,4	0,03	HHS	UNODC Estimate	2011	 138.252924	 36.204824
48	 	15-64	1,1	Data refers to 2010/11	United Kingdom (Northern Ireland)	Amphetamines			HHS	Government source	2011		
49	z*	15-64	0,469576273	Includes prescription stimulants	Venezuela (Bolivarian Republic of)	Amphetamines	0,531569634	0,407582912	HHS	Government source	2011		
50	z**	16-65	0,1	 	Argentina	Amphetamines			HHS	Government source (only includes prescription stim	2011	 -63.616672	 -38.416097
51	 	15-64	0,65	 	Bulgaria	Amphetamines	0,7	0,6	HHS	ARQ	2012	 25.48583	 42.733883
52	 	15-64	0,3	 	Cyprus	Amphetamines			HHS	ARQ	2012	 33.429859	 35.126413
53	 	15-64	0,2	 	Lithuania	Amphetamines			HHS	ARQ	2012	 23.881275	 55.169438
54	 	15-64	0,05	 	Portugal	Amphetamines			HHS	ARQ	2012	 -8.224454	 39.399872
55	 	15-64	0,3	 	Slovenia	Amphetamines			HHS	ARQ	2012	 14.995463	 46.151241
56	 	15-64	0,8	 	Croatia	Amphetamines			HHS	EMCDDA	2012	 15.2	 45.1
57	 	15-64	0,1	 	Maldives	Amphetamines			HHS	Government source	2012	 73.22068	 3.202778
58	 	18-64	0,7	 	Germany	Amphetamines			HHS	ARQ	2012	 10.451526	 51.165691
59	z*	14+	2,1	Methamphetamine	Australia	Amphetamines			HHS	Government source	2013	 133.775136	 -25.274398
60	 	15-64	0,5	 	Belgium	Amphetamines			HHS	ARQ	2013	 4.469936	 50.503887
61	 	15-64	0,27	 	Switzerland	Amphetamines			HHS	ARQ	2013	 8.227512	 46.818188
62	 	15-64	0,2	 	Czech Republic	Amphetamines	0,2	0,2	HHS	ARQ	2013	 15.472962	 49.817492
63	 	15-64	0,6	 	Spain	Amphetamines			HHS	ARQ	2013	 -3.74922	 40.463667
64	 	15-64	0	 	Malta	Amphetamines			HHS	ARQ	2013	 14.375416	 35.937496
65	 	15-64	0,1	Amphetamine	Romania	Amphetamines			HHS	ARQ	2013	 24.96676	 45.943161
66	 	15-64	0,2	Data refers to 2013/2014	Italy	Amphetamines			HHS	Government source	2013	 12.56738	 41.87194
67	z*	15+	0,2	Amphetamines	Canada	Amphetamines			HHS	ARQ	2013	 -106.346771	 56.130366
68	 	16-59	0,8	Data refers to 2013/14. Crime Survey for England and Wales. Data relating to before 2013/14 may vary slightly from more recent data published due to revised reference population.	United Kingdom (England and Wales)	Amphetamines			HHS	ARQ	2013		
69	 	16-64	0,6	 	Denmark	Amphetamines			HHS	ARQ	2013	 9.501785	 56.26392
70	 	16-64	0,9	Data refers to 2012/13	United Kingdom (Scotland)	Amphetamines			HHS	Government source	2013		
